id,date,user,pc,activity
1,2024-01-15 10:00:00,USR0001,PC-0001,Connect
2,2024-01-15 10:30:00,USR0001,PC-0001,Disconnect
3,2024-01-16 14:00:00,USR0002,PC-0002,Connect
4,2024-01-16 14:15:00,USR0002,PC-0002,Disconnect
5,2024-01-15 02:00:00,USR0003,PC-0003,Connect
6,2024-01-15 02:30:00,USR0003,PC-0003,Disconnect
7,2024-01-16 03:00:00,USR0003,PC-0003,Connect
8,2024-01-16 03:20:00,USR0003,PC-0003,Disconnect
9,2024-01-17 01:00:00,USR0003,PC-0003,Connect
10,2024-01-17 01:45:00,USR0003,PC-0003,Disconnect
11,2024-01-18 04:30:00,USR0003,PC-0003,Connect
12,2024-01-18 04:50:00,USR0003,PC-0003,Disconnect
13,2024-01-19 05:00:00,USR0003,PC-0003,Connect
14,2024-01-19 05:25:00,USR0003,PC-0003,Disconnect
15,2024-01-20 02:30:00,USR0003,PC-0003,Connect
16,2024-01-20 03:00:00,USR0003,PC-0003,Disconnect
17,2024-01-21 03:15:00,USR0003,PC-0003,Connect
18,2024-01-21 03:45:00,USR0003,PC-0003,Disconnect
19,2024-01-22 01:00:00,USR0003,PC-0003,Connect
20,2024-01-22 01:30:00,USR0003,PC-0003,Disconnect
21,2024-01-15 23:00:00,USR0005,PC-0005,Connect
22,2024-01-15 23:30:00,USR0005,PC-0005,Disconnect
23,2024-01-16 22:00:00,USR0005,PC-0005,Connect
24,2024-01-16 22:15:00,USR0005,PC-0005,Disconnect
25,2024-01-17 21:30:00,USR0005,PC-0005,Connect
26,2024-01-17 22:00:00,USR0005,PC-0005,Disconnect
27,2024-01-18 02:00:00,USR0005,PC-0005,Connect
28,2024-01-18 02:20:00,USR0005,PC-0005,Disconnect
29,2024-01-19 01:30:00,USR0005,PC-0005,Connect
30,2024-01-19 02:00:00,USR0005,PC-0005,Disconnect
31,2024-01-20 23:00:00,USR0005,PC-0005,Connect
32,2024-01-20 23:20:00,USR0005,PC-0005,Disconnect
33,2024-01-17 10:00:00,USR0004,PC-0004,Connect
34,2024-01-17 10:15:00,USR0004,PC-0004,Disconnect
35,2024-01-18 11:00:00,USR0007,PC-0007,Connect
36,2024-01-18 11:30:00,USR0007,PC-0007,Disconnect
37,2024-01-19 09:30:00,USR0008,PC-0008,Connect
38,2024-01-19 09:45:00,USR0008,PC-0008,Disconnect
39,2024-01-20 14:00:00,USR0010,PC-0010,Connect
40,2024-01-20 14:30:00,USR0010,PC-0010,Disconnect
41,2024-01-21 10:00:00,USR0012,PC-0012,Connect
42,2024-01-21 10:15:00,USR0012,PC-0012,Disconnect
43,2024-01-22 15:00:00,USR0015,PC-0015,Connect
44,2024-01-22 15:20:00,USR0015,PC-0015,Disconnect
45,2024-01-23 11:00:00,USR0020,PC-0020,Connect
46,2024-01-23 11:30:00,USR0020,PC-0020,Disconnect
