id,date,user,pc,filename,activity
1,2024-01-15 09:00:00,USR0001,PC-0001,quarterly_report.docx,Open
2,2024-01-15 10:00:00,USR0001,PC-0001,presentation.pptx,Open
3,2024-01-16 09:30:00,USR0002,PC-0002,budget.xlsx,Open
4,2024-01-16 14:00:00,USR0002,PC-0002,memo.pdf,Open
5,2024-01-15 02:00:00,USR0003,PC-0003,malware_toolkit.exe,Download
6,2024-01-15 02:30:00,USR0003,PC-0003,keylogger.exe,Download
7,2024-01-16 03:00:00,USR0003,PC-0003,data_exfil.zip,Download
8,2024-01-16 03:30:00,USR0003,PC-0003,backdoor.exe,Download
9,2024-01-17 01:00:00,USR0003,PC-0003,password_cracker.exe,Download
10,2024-01-17 01:30:00,USR0003,PC-0003,network_scanner.zip,Download
11,2024-01-18 04:00:00,USR0003,PC-0003,remote_access.exe,Download
12,2024-01-18 04:30:00,USR0003,PC-0003,encrypted_payload.zip,Download
13,2024-01-19 02:00:00,USR0003,PC-0003,rootkit_installer.exe,Download
14,2024-01-19 02:30:00,USR0003,PC-0003,stolen_data_archive.zip,Download
15,2024-01-20 03:00:00,USR0003,PC-0003,exploit_kit.exe,Download
16,2024-01-20 03:30:00,USR0003,PC-0003,credential_dump.zip,Download
17,2024-01-21 01:00:00,USR0003,PC-0003,trojan_dropper.exe,Download
18,2024-01-21 01:30:00,USR0003,PC-0003,database_extract.zip,Download
19,2024-01-22 02:00:00,USR0003,PC-0003,privilege_escalation.exe,Download
20,2024-01-22 02:30:00,USR0003,PC-0003,full_disk_image.zip,Download
21,2024-01-15 22:00:00,USR0005,PC-0005,remote_tool.exe,Download
22,2024-01-15 22:30:00,USR0005,PC-0005,file_archive.zip,Download
23,2024-01-16 23:00:00,USR0005,PC-0005,data_collector.exe,Download
24,2024-01-17 21:00:00,USR0005,PC-0005,compressed_data.zip,Download
25,2024-01-18 01:30:00,USR0005,PC-0005,system_tool.exe,Download
26,2024-01-19 02:00:00,USR0005,PC-0005,backup_archive.zip,Download
27,2024-01-20 23:00:00,USR0005,PC-0005,monitoring_app.exe,Download
28,2024-01-21 22:00:00,USR0005,PC-0005,log_package.zip,Download
29,2024-01-22 01:00:00,USR0005,PC-0005,cleanup_tool.exe,Download
30,2024-01-22 01:30:00,USR0005,PC-0005,evidence_archive.zip,Download
31,2024-01-17 10:00:00,USR0004,PC-0004,meeting_notes.docx,Open
32,2024-01-18 09:00:00,USR0006,PC-0006,project_plan.xlsx,Open
33,2024-01-18 14:00:00,USR0007,PC-0007,design_spec.pdf,Open
34,2024-01-19 10:00:00,USR0008,PC-0008,user_manual.pdf,Open
35,2024-01-20 09:30:00,USR0009,PC-0009,training_slides.pptx,Open
36,2024-01-20 11:00:00,USR0010,PC-0010,policy_doc.pdf,Open
37,2024-01-21 09:00:00,USR0011,PC-0011,changelog.txt,Open
38,2024-01-21 10:00:00,USR0012,PC-0012,invoice.pdf,Open
39,2024-01-22 09:00:00,USR0013,PC-0013,contract.docx,Open
40,2024-01-22 10:00:00,USR0014,PC-0014,research_paper.pdf,Open
41,2024-01-23 09:00:00,USR0015,PC-0015,release_notes.md,Open
42,2024-01-23 10:00:00,USR0016,PC-0016,architecture.png,Open
43,2024-01-23 11:00:00,USR0017,PC-0017,readme.txt,Open
44,2024-01-23 14:00:00,USR0018,PC-0018,specification.docx,Open
45,2024-01-23 15:00:00,USR0019,PC-0019,summary.pdf,Open
46,2024-01-23 16:00:00,USR0020,PC-0020,notes.txt,Open
