id,date,user,pc,activity
1,2024-01-15 08:30:00,USR0001,PC-0001,Logon
2,2024-01-15 17:45:00,USR0001,PC-0001,Logoff
3,2024-01-15 09:00:00,USR0002,PC-0002,Logon
4,2024-01-15 18:00:00,USR0002,PC-0002,Logoff
5,2024-01-15 03:15:00,USR0003,PC-0003,Logon
6,2024-01-15 04:50:00,USR0003,PC-0003,Logoff
7,2024-01-15 08:00:00,USR0004,PC-0004,Logon
8,2024-01-15 17:30:00,USR0004,PC-0004,Logoff
9,2024-01-15 22:10:00,USR0005,PC-0005,Logon
10,2024-01-15 23:55:00,USR0005,PC-0005,Logoff
11,2024-01-16 08:15:00,USR0001,PC-0001,Logon
12,2024-01-16 17:30:00,USR0001,PC-0001,Logoff
13,2024-01-16 09:05:00,USR0002,PC-0002,Logon
14,2024-01-16 17:50:00,USR0002,PC-0002,Logoff
15,2024-01-16 02:30:00,USR0003,PC-0003,Logon
16,2024-01-16 05:45:00,USR0003,PC-0003,Logoff
17,2024-01-16 23:00:00,USR0003,PC-0003,Logon
18,2024-01-16 23:59:00,USR0003,PC-0003,Logoff
19,2024-01-16 08:20:00,USR0006,PC-0006,Logon
20,2024-01-16 17:00:00,USR0006,PC-0006,Logoff
21,2024-01-17 07:30:00,USR0007,PC-0007,Logon
22,2024-01-17 16:45:00,USR0007,PC-0007,Logoff
23,2024-01-17 08:10:00,USR0008,PC-0008,Logon
24,2024-01-17 17:20:00,USR0008,PC-0008,Logoff
25,2024-01-17 01:00:00,USR0005,PC-0005,Logon
26,2024-01-17 03:30:00,USR0005,PC-0005,Logoff
27,2024-01-17 21:00:00,USR0005,PC-0005,Logon
28,2024-01-17 23:30:00,USR0005,PC-0005,Logoff
29,2024-01-17 04:00:00,USR0003,PC-0003,Logon
30,2024-01-17 06:00:00,USR0003,PC-0003,Logoff
31,2024-01-18 08:30:00,USR0009,PC-0009,Logon
32,2024-01-18 17:15:00,USR0009,PC-0009,Logoff
33,2024-01-18 09:00:00,USR0010,PC-0010,Logon
34,2024-01-18 18:00:00,USR0010,PC-0010,Logoff
35,2024-01-18 08:30:00,USR0011,PC-0011,Logon
36,2024-01-18 17:30:00,USR0011,PC-0011,Logoff
37,2024-01-18 08:00:00,USR0012,PC-0012,Logon
38,2024-01-18 17:00:00,USR0012,PC-0012,Logoff
39,2024-01-18 02:00:00,USR0005,PC-0005,Logon
40,2024-01-18 04:00:00,USR0005,PC-0005,Logoff
41,2024-01-18 03:00:00,USR0003,PC-0003,Logon
42,2024-01-18 05:30:00,USR0003,PC-0003,Logoff
43,2024-01-19 08:30:00,USR0013,PC-0013,Logon
44,2024-01-19 17:00:00,USR0013,PC-0013,Logoff
45,2024-01-19 09:00:00,USR0014,PC-0014,Logon
46,2024-01-19 17:30:00,USR0014,PC-0014,Logoff
47,2024-01-19 08:45:00,USR0015,PC-0015,Logon
